cod_municipio,municipio,latitud,longitud,poblacion,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max
881,Montejo de la Sierra,41.05928,-3.530301,374.0,1,0,,,,14,6322,4.381445745017399,3.8,4.8,2,4,5.0,5.0,5.0,2,7,5.0,5.0,5.0,27,33,4.690909090909091,2.0,5.0
894,Moraleja de Enmedio,40.26033,-3.861412,5630.0,20,5834,3.8614501199862876,3.3,5.0,20,20853,4.05846640771112,3.5,4.5,20,1337,4.290875093492895,2.8,5.0,20,455,4.188351648351648,2.5,5.0,35,1205,3.8284647302904564,1.0,5.0
908,Moralzarzal,40.68117,-3.97335,14504.0,20,3541,4.26469923750353,3.6,5.0,20,17951,4.388697008523203,3.5,4.9,20,1185,3.8536708860759497,1.8,5.0,20,123,4.805691056910569,4.5,5.0,31,454,3.6894273127753303,1.0,5.0
915,Morata de Tajuña,40.22751,-3.436966,8294.0,2,41,4.224390243902438,3.2,4.4,20,16104,4.057563338301043,3.3,5.0,2,52,4.726923076923077,4.6,4.8,5,0,,,,21,11,3.4545454545454546,1.0,5.0
936,Navacerrada,40.72893,-4.0151,3307.0,20,478,4.827196652719666,4.3,5.0,20,23372,4.460371384562725,3.7,4.9,15,509,3.862278978388998,2.6,5.0,20,60,4.845,4.6,5.0,26,342,4.066959064327485,2.3,5.0
941,Navalafuente,40.82451,-3.673573,1703.0,9,362,4.218232044198895,3.9,5.0,20,11396,4.244190944190945,3.8,4.9,10,271,4.257195571955719,3.6,4.8,20,503,4.906361829025845,4.9,5.0,26,15,4.413333333333333,3.0,5.0
954,Navalagamella,40.46916,-4.12338,3119.0,13,441,4.789342403628118,4.5,5.0,20,5007,4.290932694228082,3.6,4.9,6,298,4.08758389261745,3.5,4.8,17,45,4.788888888888888,4.3,5.0,23,14,4.428571428571429,3.0,5.0
967,Navalcarnero,40.28781,-4.013766,32684.0,20,2916,4.5156721536351165,3.8,5.0,20,12745,4.077551981169087,3.2,4.7,20,910,4.2820879120879125,3.5,5.0,20,92,4.6891304347826095,4.4,5.0,23,84,4.291666666666666,2.0,4.5
973,Navarredonda y San Mamés,40.99078,-3.726047,154.0,0,0,,,,16,6029,4.316337701111295,3.3,5.0,2,22,4.663636363636363,4.2,4.8,4,46,5.0,5.0,5.0,24,2,3.0,1.0,5.0
992,Navas del Rey,40.38501,-4.250652,3344.0,5,130,4.71076923076923,4.0,5.0,20,9511,4.346093996425192,3.9,5.0,5,58,4.205172413793103,3.5,4.6,13,1280,4.756796875000001,4.7,5.0,23,42,4.1119047619047615,1.0,5.0
1006,Nuevo Baztán,40.36552,-3.243183,7393.0,4,10,4.6,4.6,4.6,20,5848,3.9558481532147747,3.2,4.8,7,159,4.648427672955975,3.4,4.9,13,19,4.578947368421052,4.5,5.0,22,8,3.375,3.0,5.0
1013,Olmeda de las Fuentes,40.36943,-3.221704,409.0,3,0,,,,20,6223,4.003374578177729,3.2,4.8,7,132,4.620454545454545,3.4,4.9,12,29,4.724137931034483,4.5,5.0,22,9,3.5555555555555554,3.0,5.0
1028,Orusco de Tajuña,40.28515,-3.208557,1504.0,1,0,,,,11,3328,4.490474759615384,3.5,5.0,5,88,4.902272727272728,4.9,5.0,9,2,5.0,5.0,5.0,20,14,4.635714285714286,4.0,5.0
1049,Paracuellos de Jarama,40.50481,-3.53227,27241.0,20,3875,4.30141935483871,3.0,5.0,20,20578,4.052463796287298,2.9,4.9,20,1359,4.323178807947021,3.0,4.8,20,805,4.581366459627329,3.7,5.0,32,2033,3.9540580423020164,2.5,4.5
1071,Patones,40.85573,-3.48511,604.0,3,277,4.356678700361011,3.9,5.0,20,13352,4.190166267225885,3.7,5.0,4,100,4.09,3.7,4.9,13,18,4.905555555555556,4.9,5.0,20,38,4.494736842105263,4.1,5.0
1087,Pedrezuela,40.74369,-3.603798,6475.0,11,550,4.8136363636363635,3.9,5.0,20,12254,4.285645503509058,3.2,4.7,5,195,4.2215384615384615,3.6,4.4,16,178,4.810112359550561,4.3,5.0,27,22,4.468181818181819,3.0,5.0
1090,Pelayos de la Presa,40.35954,-4.334138,3106.0,9,178,4.899438202247191,4.0,5.0,20,13393,4.167206749794668,1.5,5.0,5,221,3.9714932126696834,1.0,4.4,12,140,4.503571428571429,4.5,5.0,21,31,3.916129032258065,1.0,5.0
1104,Perales de Tajuña,40.23453,-3.352198,3195.0,1,0,,,,16,13669,3.9387958153485987,2.5,5.0,2,68,4.699999999999999,4.7,4.7,3,0,,,,22,19,4.163157894736842,2.0,5.0
1111,Pezuela de las Torres,40.41869,-3.177605,990.0,4,27,4.933333333333333,4.9,5.0,11,2741,4.257059467347683,3.4,4.7,6,125,4.2783999999999995,3.4,4.9,7,11,5.0,5.0,5.0,10,21,4.571428571428571,3.0,5.0
1126,Pinilla del Valle,40.9262,-3.819392,199.0,1,0,,,,20,16429,4.343532777405807,3.4,4.6,3,41,4.190243902439025,3.6,4.7,7,131,4.7,4.7,4.7,21,32,4.459375,2.0,5.0
1147,Piñuécar-Gandullas,41.03265,-3.599468,185.0,2,0,,,,20,15604,4.130447321199692,3.0,4.7,5,54,2.925925925925926,2.6,5.0,10,53,5.0,5.0,5.0,35,70,4.462857142857143,2.0,5.0
1163,Pozuelo del Rey,40.36622,-3.321994,1302.0,9,260,4.201153846153846,3.5,5.0,20,4567,4.063849354061748,3.2,4.8,10,263,4.480608365019012,3.5,4.9,14,34,4.658823529411765,4.5,5.0,23,8,3.6375,1.0,5.0
1179,Prádena del Rincón,41.04411,-3.540921,139.0,1,0,,,,15,6246,4.453666346461736,3.8,4.8,2,4,5.0,5.0,5.0,2,7,5.0,5.0,5.0,29,31,4.670967741935484,2.0,5.0
1185,Puebla de la Sierra,41.01208,-3.444847,93.0,0,0,,,,1,64,4.7,4.7,4.7,0,0,,,,1,0,,,,1,0,,,
9020,Puentes Viejas,40.99496,-3.550907,774.0,0,0,,,,12,3873,4.505344694035631,4.0,4.8,1,15,5.0,5.0,5.0,1,7,5.0,5.0,5.0,29,7,4.714285714285714,4.0,5.0
1198,Quijorna,40.42656,-4.057429,3987.0,20,1459,4.4565455791638104,3.6,5.0,20,13290,4.277494356659142,3.1,4.5,12,707,4.354738330975955,3.0,4.9,20,493,4.566125760649087,4.2,5.0,25,8,4.25,1.0,5.0
1202,Rascafría,40.90381,-3.879398,1712.0,1,0,,,,20,17725,4.401528913963328,3.8,4.7,2,30,4.15,3.6,4.7,3,0,,,,21,38,4.436842105263158,2.0,5.0
1219,Redueña,40.8163,-3.603684,292.0,13,963,4.565524402907581,3.9,5.0,20,17534,4.06401277517965,3.8,4.9,8,227,3.9533039647577093,3.6,4.4,16,4,5.0,5.0,5.0,27,25,3.7560000000000002,1.0,5.0
1224,Ribatejada,40.6665,-3.392131,911.0,18,1027,4.713242453748784,2.8,5.0,20,5662,4.026368774284705,3.2,5.0,17,573,4.4357766143106465,3.5,5.0,20,50,4.904,4.7,5.0,24,17,4.241176470588235,3.5,5.0
1245,Robledillo de la Jara,40.95299,-3.525749,132.0,1,0,,,,13,7679,4.363029040239614,4.2,4.6,1,15,5.0,5.0,5.0,0,0,,,,27,14,4.585714285714286,4.0,5.0
1258,Robledo de Chavela,40.50089,-4.238043,4763.0,7,129,4.550387596899225,4.4,5.0,20,6703,4.302401909592719,3.8,4.9,4,90,4.319999999999999,3.9,4.5,6,1,5.0,5.0,5.0,22,32,3.90625,3.0,4.0
1261,Robregordo,41.10658,-3.593292,73.0,0,0,,,,6,3748,4.113393810032017,3.8,4.6,0,0,,,,2,7,5.0,5.0,5.0,24,11,4.636363636363637,3.0,5.0
1283,Rozas de Puerto Real,40.31007,-4.490765,581.0,2,10,3.88,1.0,4.6,20,5547,4.225725617450874,3.9,5.0,3,48,2.725,2.0,3.3,10,4,4.8,4.8,4.8,22,9,4.344444444444445,3.0,5.0
