"";"Serie";"...2";"...3";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"147";"Municipios";"1381";"Serna del Monte (La)";156294000;148964400;166335200;165207000;NA;NA;NA;NA;1652070
"148";"Municipios";"1408";"Serranillos del Valle";5076540600;5272819200;5569200000;5941581500;6524196000;6734026200;7286451200;7949966400;86639229
"149";"Municipios";"1415";"Sevilla la Nueva";11192218200;11650279200;12250980000;13100228000;13902496000;14106179700;15163394400;16569888100;182273004
"150";"Municipios";"1436";"Somosierra";143132400;157913700;158865000;195735400;NA;NA;NA;NA;1957354
"151";"Municipios";"1441";"Soto del Real";14349244600;14844518100;15686670000;16694575800;17721144000;18045875200;19525541500;21404955600;229679576
"152";"Municipios";"1454";"Talamanca de Jarama";4690006000;4635832000;4973520000;5300748400;5867167600;5888465100;6244032000;6817380800;75551875
"153";"Municipios";"1467";"Tielmes";2605586400;2695618800;2826496000;2984732400;3180990400;3239334000;3532650000;3636188400;39767760
"154";"Municipios";"1473";"Titulcia";1439696000;1495472000;1538441800;1636090500;1725515800;1854085200;1924116100;2046951000;22379938
"155";"Municipios";"1489";"Torrejón de Ardoz";156140172000;156090790500;170390214000;179725086900;190727664000;191133727200;204505115000;223113417100;2438130001
"156";"Municipios";"1505";"Torrejón de Velasco";4963051800;5010906300;5439592600;5655450600;6102081900;6682877700;7232564400;7949014600;85391306
"157";"Municipios";"1492";"Torrejón de la Calzada";10682787600;11257987400;11905350600;12654614000;14146438500;14527069500;16016684600;17614617600;190869030
"158";"Municipios";"1512";"Torrelaguna";5363544200;5539932300;5810538600;6200875200;6691046100;6877960600;7155881400;7688782500;83495448
"159";"Municipios";"1527";"Torrelodones";52286212800;53709088600;57091717800;61715555600;64552879300;65455099800;69987982500;76238960000;837080896
"160";"Municipios";"1533";"Torremocha de Jarama";1232983600;1254377600;1299111700;1397384600;1540616300;1636899200;1762124000;1901446600;20662642
"161";"Municipios";"1548";"Torres de la Alameda";8423391000;8649587200;9071337800;9516521300;10089317600;9920691200;10628106400;11701274700;125715186
"162";"Municipios";"9036";"Tres Cantos";102548107800;105295942400;108613992800;115516699700;121031030400;123754622800;132253374100;143089038000;1578738640
"163";"Municipios";"1551";"Valdaracete";654670800;726264000;698567400;716780900;750189400;738072000;839801600;934793400;10581212
"164";"Municipios";"1564";"Valdeavero";1777425600;1880796900;1990167200;2051451000;2207062800;2296335600;2466336800;2631020700;29245623
"165";"Municipios";"1570";"Valdelaguna";893643200;952167000;990580500;1143230400;1215421200;1343550000;1436116000;1518186800;16810820
"166";"Municipios";"1586";"Valdemanco";1219602000;1176175000;1245555000;1321881000;1326877000;1523088000;1648358100;1770771900;19331880
"167";"Municipios";"1599";"Valdemaqueda";732727400;750568500;825246000;879622200;915835200;932580000;1007177400;1115232300;12086052
"168";"Municipios";"1603";"Valdemorillo";19123546500;19865263700;20056648900;21260228500;22508006700;24116980200;26086838200;28043570000;309214332
"169";"Municipios";"1610";"Valdemoro";95584098200;98221997400;104030117300;109769565000;116891989500;118952831700;127570556200;140528688800;1542808134
